R_sat,Z_ring,timestamp,RF_score,id,isResistance
-6.677219457355117,-31.374798434390684,963767270,0.9397011676190252,410,0
-6.677219457355117,-31.374798434390684,963933908,0.9355977664327194,411,0
-6.677219457355117,-31.374798434390684,973674812,0.790425957950273,3720,0
-6.677219457355117,-31.374798434390684,974191882,0.9234819026263608,420,0
-6.677219457355117,-31.374798434390684,975391063,0.7838685047828102,3721,0
-6.677219457355117,-31.374798434390684,975493260,0.9948392350070496,421,0
-6.677219457355117,-31.374798434390684,1080648244,0.9363621068846081,448,0
-6.677219457355117,-31.374798434390684,1080650639,0.6581705199539603,3752,0
-6.677219457355117,-31.374798434390684,1086060112,0.9175628951073866,449,0
-6.677219457355117,-31.374798434390684,1086087802,0.7763120561149605,4411,0
1.0,-0.8470498864550846,1094954973,0.7661597642062643,4412,0
0.14259907529296023,0.03784446929429755,1098797923,0.743391850586287,4370,0
0.05478724140422701,0.04124710054523643,1098925856,0.7989461795014466,4371,0
0.05206473319434311,0.039384023854122756,1098930407,0.7466025792164995,3265,0
0.05095862545563631,0.03848065866073519,1098932368,0.8639891851263669,4372,0
0.04629554513028671,0.03305089203645355,1098942027,0.9509263421510548,898,0
0.045083152420447754,0.0055933409265906085,1098972333,0.7924360456488118,4373,0
0.04988230588916237,-0.006232125315506421,1098983277,0.9145195359977063,899,0
0.051268317276713625,-0.008963834981342251,1098985828,0.8143805306950889,3266,0
0.05193132324859215,-0.010210260295146408,1098987000,0.6511351382205939,4374,0
0.05299720321288284,-0.012145466386507101,1098988830,0.6855821664998017,3267,0
0.053859019194271496,-0.013655856141535715,1098990268,0.8278489737501878,4375,0
0.05428216470210792,-0.01438152404587577,1098990963,0.944030244906979,900,0
0.05448154328209109,-0.014720041080634325,1098991288,0.7411685741951073,3480,0
0.05495122095146748,-0.01550925313478244,1098992047,0.9771604005669902,0,0
0.05515253909388788,-0.015844116479387552,1098992370,0.8372764594112027,4376,0
0.056839927635591835,-0.018577165573209944,1098995029,0.7334967716322033,4377,0
